"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"16:16:02 2017-February-14","24.64","POOR","19.99270006","105.66717035","19.99252923","105.66622588","true","6.79","100.63","HARD-MEDIUM"
"16:16:16 2017-February-14","27.51","POOR","19.99252923","105.66622588","19.99272001","105.66528166","true","7.87","101.05","HARD-MEDIUM"
"16:16:29 2017-February-14","27.77","POOR","19.99272001","105.66528166","19.99303772","105.66432612","true","7.14","106","HARD-MEDIUM"
"16:16:49 2017-February-14","26.58","POOR","19.99303772","105.66432612","19.99256259","105.66349749","true","6.99","101.42","HARD-MEDIUM"
"16:17:00 2017-February-14","34.91","POOR","19.99256259","105.66349749","19.99159968","105.66327201","true","9.74","109.18","HARD-MEDIUM"
"16:17:09 2017-February-14","42.55","POOR","19.99159968","105.66327201","19.99063568","105.66304537","true","9.96","109.32","HARD-MEDIUM"
"16:17:19 2017-February-14","39.92","POOR","19.99063568","105.66304537","19.98965319","105.66283163","true","9.42","111.04","HARD-MEDIUM"
"16:17:29 2017-February-14","38.02","POOR","19.98965319","105.66283163","19.98873294","105.66260741","true","9.73","104.54","HARD-MEDIUM"
"16:17:41 2017-February-14","32.78","POOR","19.98873294","105.66260741","19.98778239","105.66238244","true","8.05","107.83","HARD-MEDIUM"
"16:18:24 2017-February-14","24.31","POOR","19.98678687","105.66216535","19.98583783","105.66194298","true","6.09","107.61","HARD-MEDIUM"
"16:18:35 2017-February-14","33.43","FAIR","19.98583783","105.66194298","19.98494663","105.66174407","true","5.49","100.83","HARD-MEDIUM"
"16:19:02 2017-February-14","24.28","POOR","19.98482241","105.66158641","19.98497907","105.66064135","true","6.28","100.42","HARD-MEDIUM"
"16:19:17 2017-February-14","25.97","FAIR","19.98497907","105.66064135","19.98491482","105.65960837","true","5.5","108.34","HARD-MEDIUM"
"16:19:29 2017-February-14","30.93","POOR","19.98491482","105.65960837","19.98482719","105.65860145","true","8.03","105.83","HARD-MEDIUM"
