"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"08:58:53 2017-April-27","41.05","POOR","20.17369715","105.6541375","20.17455324","105.65378118","true","10.09","101.83","SUV"
"08:59:03 2017-April-27","39.7","POOR","20.17455324","105.65378118","20.17543472","105.65329017","true","11.21","110.26","SUV"
"08:59:12 2017-April-27","42.72","POOR","20.17543472","105.65329017","20.17617137","105.65262859","true","10.5","106.93","SUV"
"08:59:21 2017-April-27","39.98","POOR","20.17617137","105.65262859","20.17682884","105.65197136","true","8.5","100.09","SUV"
"08:59:30 2017-April-27","40.85","POOR","20.17682884","105.65197136","20.17750007","105.65133023","true","10.78","100.07","SUV"
"08:59:40 2017-April-27","36.75","POOR","20.17750007","105.65133023","20.1777799","105.6504021","true","11.28","101.84","SUV"
"08:59:51 2017-April-27","34.32","POOR","20.1777799","105.6504021","20.17739072","105.64943517","true","11.81","109.87","SUV"
"09:00:00 2017-April-27","41.13","POOR","20.17739072","105.64943517","20.17699615","105.64854107","true","11.12","103.16","SUV"
"09:00:13 2017-April-27","29.68","POOR","20.17699615","105.64854107","20.17667424","105.64760137","true","15.61","104.49","SUV"
"09:00:43 2017-April-27","24.78","POOR","20.17693957","105.64673862","20.17761859","105.64609515","true","7.67","100.87","SUV"
"09:00:54 2017-April-27","34.28","POOR","20.17761859","105.64609515","20.17838918","105.64544471","true","6.76","109.09","SUV"
"09:01:05 2017-April-27","33.67","FAIR","20.17838918","105.64544471","20.17918403","105.64486862","true","5.65","106.63","SUV"
"09:01:16 2017-April-27","36.45","POOR","20.17918403","105.64486862","20.17999536","105.64428315","true","7.38","108.69","SUV"
"09:01:31 2017-April-27","25.08","POOR","20.17999536","105.64428315","20.18076926","105.64373598","true","14.28","103.01","SUV"
"09:01:42 2017-April-27","34.78","POOR","20.18076926","105.64373598","20.18156801","105.64314941","true","9.4","107.6","SUV"
"09:01:51 2017-April-27","41.81","POOR","20.18156801","105.64314941","20.182364","105.64261573","true","14.44","104.29","SUV"
"09:02:00 2017-April-27","42.15","POOR","20.182364","105.64261573","20.18326686","105.64225347","true","7.18","106.88","SUV"
"09:02:11 2017-April-27","34.73","POOR","20.18326686","105.64225347","20.18416548","105.64190067","true","17.94","106.1","SUV"
"09:02:20 2017-April-27","40.58","POOR","20.18416548","105.64190067","20.18488762","105.64125108","true","6.59","104.89","SUV"
"09:02:29 2017-April-27","40.86","POOR","20.18488762","105.64125108","20.18547742","105.64052294","true","10.22","100.28","SUV"
"09:02:40 2017-April-27","34.86","FAIR","20.18547742","105.64052294","20.18630136","105.6400761","true","5.69","102.48","SUV"
"09:02:49 2017-April-27","41.78","POOR","20.18630136","105.6400761","20.18723921","105.63994266","true","12.01","104.76","SUV"
"09:03:00 2017-April-27","34.42","POOR","20.18723921","105.63994266","20.18803226","105.63941577","true","20.98","103.64","SUV"
"09:03:12 2017-April-27","30.12","POOR","20.18803226","105.63941577","20.18875466","105.63882334","true","7.9","101.14","SUV"
"09:03:22 2017-April-27","38.42","POOR","20.18875466","105.63882334","20.18954909","105.63821733","true","7.48","108.38","SUV"
"09:03:32 2017-April-27","40.23","POOR","20.18954909","105.63821733","20.19027358","105.63750688","true","11.97","109.3","SUV"
"09:03:42 2017-April-27","38.68","POOR","20.19027358","105.63750688","20.19090369","105.63671932","true","6.64","107.9","SUV"
"09:03:51 2017-April-27","43.06","POOR","20.19090369","105.63671932","20.19153473","105.6359284","true","7.31","108.23","SUV"
"09:04:02 2017-April-27","35.71","POOR","20.19153473","105.6359284","20.19216404","105.63518107","true","8.93","104.67","SUV"
"09:04:17 2017-April-27","24.89","POOR","20.19216404","105.63518107","20.19279729","105.63438009","true","7.72","109.19","SUV"
"09:04:25 2017-April-27","44.82","POOR","20.19279729","105.63438009","20.19340536","105.63363595","true","7.78","102.86","SUV"
"09:04:34 2017-April-27","44.75","POOR","20.19340536","105.63363595","20.1940674","105.63284252","true","7.1","110.68","SUV"
"09:04:43 2017-April-27","44.65","POOR","20.1940674","105.63284252","20.1947636","105.63207172","true","7.42","111.49","SUV"
"09:04:52 2017-April-27","41.35","POOR","20.1947636","105.63207172","20.19536609","105.63133612","true","7.95","101.78","SUV"
"09:05:01 2017-April-27","41.15","POOR","20.19536609","105.63133612","20.19597177","105.63057689","true","8.28","103.89","SUV"
"09:05:10 2017-April-27","41.39","POOR","20.19597177","105.63057689","20.19657455","105.62983677","true","8.55","102.16","SUV"
"09:05:19 2017-April-27","43.95","POOR","20.19657455","105.62983677","20.19724544","105.6290373","true","8.09","111.8","SUV"
"09:05:27 2017-April-27","48.64","POOR","20.19724544","105.6290373","20.1979867","105.62834538","true","9.08","109.38","SUV"
"09:05:35 2017-April-27","47.36","POOR","20.1979867","105.62834538","20.19873964","105.62770693","true","9.1","106.78","SUV"
"09:05:42 2017-April-27","50.96","POOR","20.19873964","105.62770693","20.19943329","105.62708465","true","8.57","100.63","SUV"
"09:05:50 2017-April-27","48.21","POOR","20.19943329","105.62708465","20.20018565","105.62641754","true","8.27","108.62","SUV"
"09:05:59 2017-April-27","44.39","POOR","20.20018565","105.62641754","20.20091353","105.62574489","true","10.57","106.94","SUV"
"09:06:09 2017-April-27","40.51","POOR","20.20091353","105.62574489","20.20168265","105.62506436","true","9.54","110.94","SUV"
"09:06:18 2017-April-27","41.62","POOR","20.20168265","105.62506436","20.20242022","105.62443815","true","11.28","104.65","SUV"
"09:06:28 2017-April-27","40.49","POOR","20.20242022","105.62443815","20.20319777","105.62376668","true","9.76","111.06","SUV"
"09:06:37 2017-April-27","41.93","POOR","20.20319777","105.62376668","20.20387754","105.62305782","true","9.8","105.6","SUV"
"09:06:47 2017-April-27","38.87","POOR","20.20387754","105.62305782","20.20457952","105.62232642","true","10.63","109.01","SUV"
"09:06:57 2017-April-27","38.63","POOR","20.20457952","105.62232642","20.20530204","105.62160239","true","8.84","110.11","SUV"
"09:07:06 2017-April-27","42.81","POOR","20.20530204","105.62160239","20.20595814","105.62088984","true","10.98","104.03","SUV"
"09:07:16 2017-April-27","38.49","POOR","20.20595814","105.62088984","20.2065727","105.6200783","true","8.61","108.73","SUV"
"09:07:25 2017-April-27","42.26","POOR","20.2065727","105.6200783","20.20717096","105.61931388","true","8.79","103.77","SUV"
"09:07:38 2017-April-27","30.81","POOR","20.20717096","105.61931388","20.2077807","105.61847367","true","8.03","110.76","SUV"
"09:07:50 2017-April-27","32.98","POOR","20.2077807","105.61847367","20.20830431","105.61765904","true","13.93","103","SUV"
"09:08:01 2017-April-27","33.41","POOR","20.20830431","105.61765904","20.20882282","105.61680735","true","9.71","105.91","SUV"
"09:08:11 2017-April-27","36.9","POOR","20.20882282","105.61680735","20.20930863","105.61599623","true","9.94","100.39","SUV"
